raw_field,official_name,official_size,official_required,official_sample,official_description,actual_examples,staging_dtype,semantic_dtype,nonblank_rows,null_or_blank_rate,distinct_count,numeric_zero_rows,staging_preserved,canonical_preservation,current_transform,information_loss,field_category,prediction_time_direct_use,historical_feature_source,post_race_information,review_status
sexCond,성별조건,30,1,암,성별조건,오픈 | 성별오픈 | 암,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,4,0,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RACE_CONDITION,AVAILABLE_BY_MEANING,YES,NO,APPROVED
sjG1fOrd,"서울,제주G1F구간통과순위(서울,제주공통)","5,1",1,1,"서울,제주G1F구간통과순위(서울,제주공통)",0 | 1 | 2,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,18,21384,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
sjG3fOrd,"서울,제주G3F구간통과순위(서울,제주공통)","5,1",1,1,"서울,제주G3F구간통과순위(서울,제주공통)",0 | 1 | 2,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,18,21385,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
sjS1fOrd,"서울,제주S1F구간통과순위(서울,제주공통)","5,1",1,1,"서울,제주S1F구간통과순위(서울,제주공통)",0 | 1 | 2,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,18,21384,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
sj_1cOrd,"서울,제주1코너구간통과순위(서울,제주공통)","5,1",1,0,"서울,제주1코너구간통과순위(서울,제주공통)",0 | 1 | 2,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,18,42941,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
sj_2cOrd,"서울,제주2코너구간통과순위(서울,제주공통)","5,1",1,0,"서울,제주2코너구간통과순위(서울,제주공통)",0 | 1 | 2,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,18,41183,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
sj_3cOrd,"서울,제주3코너구간통과순위(서울,제주공통)","5,1",1,1,"서울,제주3코너구간통과순위(서울,제주공통)",0 | 1 | 2,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,18,21384,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
sj_4cOrd,"서울,제주4코너구간통과순위(서울,제주공통)","5,1",1,1,"서울,제주4코너구간통과순위(서울,제주공통)",0 | 1 | 2,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,18,21384,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
trName,조교사명,20,1,최용구,조교사명,서인석 | 이관호 | 조용배,VARCHAR,VARCHAR (semantic cast only when defined),49351,0.0007087,104,0,YES,canonical.runner_result.trainer_name,Mapped to canonical.runner_result.trainer_name,NO_OR_INTENTIONAL_CAST,DISPLAY,NOT_A_MODEL_FEATURE,NO,NO,DEFERRED
trNameEn,영문조교사이름,100,1,Choi Yong Goo,영문조교사이름,Seo In Seok | Lee Gwan Ho | Cho Yong Bae,VARCHAR,VARCHAR (semantic cast only when defined),49310,0.0015389,104,0,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,DISPLAY,NOT_A_MODEL_FEATURE,NO,NO,DEFERRED
trNo,조교사번호,6,1,070168,조교사번호,070165 | 070181 | 070137,VARCHAR,VARCHAR (semantic cast only when defined),49351,0.0007087,103,0,YES,canonical.runner_result.trainer_id,Mapped to canonical.runner_result.trainer_id,NO_OR_INTENTIONAL_CAST,IDENTIFIER_OR_CURRENT_PRERACE,AVAILABLE,YES,NO,APPROVED
track,주로,20,1,건조 (2%),주로,건조 (3%) | 건조 (2%) | 건조 (4%),VARCHAR,VARCHAR condition + INTEGER moisture_percent,49386,0.0,20,0,YES,canonical.race.track_condition (raw combined label),Mapped to canonical.race.track_condition (raw combined label),NO_OR_INTENTIONAL_CAST,ENVIRONMENT_OR_MEASUREMENT,UNVERIFIED_AT_PREDICTION_TIME,YES,NO,NEEDS_VALIDATION
weather,날씨,20,1,맑음,날씨,맑음 | 흐림 | 비,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,6,0,YES,canonical.race.weather,Mapped to canonical.race.weather,NO_OR_INTENTIONAL_CAST,ENVIRONMENT_OR_MEASUREMENT,UNVERIFIED_AT_PREDICTION_TIME,YES,NO,NEEDS_VALIDATION
wgBudam,부담중량,"4,1",1,56,부담중량,52 | 55 | 54,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,20,0,YES,canonical.runner_result.carried_weight,Mapped to canonical.runner_result.carried_weight,NO_OR_INTENTIONAL_CAST,IDENTIFIER_OR_CURRENT_PRERACE,AVAILABLE,YES,NO,APPROVED
wgHr,마체중,20,1,502(-2),마체중,() | 475() | 478(+1),VARCHAR,INTEGER kg + INTEGER delta,49386,0.0,5146,0,YES,canonical.runner_result.horse_weight (current parse fails),Canonical direct decimal cast yields NULL for weight(change),YES,ENVIRONMENT_OR_MEASUREMENT,UNVERIFIED_AT_PREDICTION_TIME,YES,NO,NEEDS_VALIDATION
winOdds,단승식 배당율,"8,1",1,4.6,단승식 배당율,0 | 3.6 | 2.2,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,1558,670,YES,canonical.runner_result.win_odds,Mapped to canonical.runner_result.win_odds,NO_OR_INTENTIONAL_CAST,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
