feature_name,category,source_fields,calculation_definition,historical_window_or_condition,pit_rule,prediction_time_availability,missing_or_structural_missing,minimum_history_and_companion_count,leakage_risk,expected_redundancy,status,recommendation_group
jockey_recent10_start_count,RELATIONSHIP_HISTORY,"jkNo,meet,ord",Historical recent10_start_count,last 10 or same meet,historical.race_date < feature_as_of,historical only,NULL rate if count=0,jockey_recent10_start_count,LOW,overlaps all-history relationship rate,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
jockey_recent10_plc_hit_rate,RELATIONSHIP_HISTORY,"jkNo,meet,ord",Historical recent10_plc_hit_rate,last 10 or same meet,historical.race_date < feature_as_of,historical only,NULL rate if count=0,jockey_recent10_start_count,LOW,overlaps all-history relationship rate,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
jockey_same_meet_start_count,RELATIONSHIP_HISTORY,"jkNo,meet,ord",Historical same_meet_start_count,last 10 or same meet,historical.race_date < feature_as_of,historical only,NULL rate if count=0,jockey_same_meet_start_count,LOW,overlaps all-history relationship rate,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
jockey_same_meet_plc_hit_rate,RELATIONSHIP_HISTORY,"jkNo,meet,ord",Historical same_meet_plc_hit_rate,last 10 or same meet,historical.race_date < feature_as_of,historical only,NULL rate if count=0,jockey_same_meet_start_count,LOW,overlaps all-history relationship rate,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
trainer_recent10_start_count,RELATIONSHIP_HISTORY,"trNo,meet,ord",Historical recent10_start_count,last 10 or same meet,historical.race_date < feature_as_of,historical only,NULL rate if count=0,trainer_recent10_start_count,LOW,overlaps all-history relationship rate,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
trainer_recent10_plc_hit_rate,RELATIONSHIP_HISTORY,"trNo,meet,ord",Historical recent10_plc_hit_rate,last 10 or same meet,historical.race_date < feature_as_of,historical only,NULL rate if count=0,trainer_recent10_start_count,LOW,overlaps all-history relationship rate,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
trainer_same_meet_start_count,RELATIONSHIP_HISTORY,"trNo,meet,ord",Historical same_meet_start_count,last 10 or same meet,historical.race_date < feature_as_of,historical only,NULL rate if count=0,trainer_same_meet_start_count,LOW,overlaps all-history relationship rate,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
trainer_same_meet_plc_hit_rate,RELATIONSHIP_HISTORY,"trNo,meet,ord",Historical same_meet_plc_hit_rate,last 10 or same meet,historical.race_date < feature_as_of,historical only,NULL rate if count=0,trainer_same_meet_start_count,LOW,overlaps all-history relationship rate,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_jockey_recent10_start_count,RELATIONSHIP_HISTORY,"hrNo,jkNo,meet,ord",Historical recent10_start_count,last 10 or same meet,historical.race_date < feature_as_of,historical only,NULL rate if count=0,horse_jockey_recent10_start_count,LOW,overlaps all-history relationship rate,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_jockey_recent10_plc_hit_rate,RELATIONSHIP_HISTORY,"hrNo,jkNo,meet,ord",Historical recent10_plc_hit_rate,last 10 or same meet,historical.race_date < feature_as_of,historical only,NULL rate if count=0,horse_jockey_recent10_start_count,LOW,overlaps all-history relationship rate,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_jockey_same_meet_start_count,RELATIONSHIP_HISTORY,"hrNo,jkNo,meet,ord",Historical same_meet_start_count,last 10 or same meet,historical.race_date < feature_as_of,historical only,NULL rate if count=0,horse_jockey_same_meet_start_count,LOW,overlaps all-history relationship rate,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_jockey_same_meet_plc_hit_rate,RELATIONSHIP_HISTORY,"hrNo,jkNo,meet,ord",Historical same_meet_plc_hit_rate,last 10 or same meet,historical.race_date < feature_as_of,historical only,NULL rate if count=0,horse_jockey_same_meet_start_count,LOW,overlaps all-history relationship rate,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
owner_prior_start_count,RELATIONSHIP_HISTORY,"owNo,hrNo,trNo,ord",historical starts under owner ID,ALL,historical.race_date < feature_as_of,historical only,NULL rate when ID/count missing,owner_prior_start_count,LOW,sparse pair/entity history,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
owner_prior_plc_hit_rate,RELATIONSHIP_HISTORY,"owNo,hrNo,trNo,ord",historical PLC hits / starts under owner ID,ALL,historical.race_date < feature_as_of,historical only,NULL rate when ID/count missing,owner_prior_start_count,LOW,sparse pair/entity history,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_trainer_prior_start_count,RELATIONSHIP_HISTORY,"owNo,hrNo,trNo,ord",historical starts for horse-trainer pair,ALL,historical.race_date < feature_as_of,historical only,NULL rate when ID/count missing,horse_trainer_prior_start_count,LOW,sparse pair/entity history,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
horse_trainer_prior_plc_hit_rate,RELATIONSHIP_HISTORY,"owNo,hrNo,trNo,ord",historical PLC rate for horse-trainer pair,ALL,historical.race_date < feature_as_of,historical only,NULL rate when ID/count missing,horse_trainer_prior_start_count,LOW,sparse pair/entity history,APPROVED_WITH_FLAG,IMMEDIATE_BASELINE
current_weather,CURRENT_PRERACE,weather,Current-race value,CURRENT,current-race pre-off only,observable before the race at the betting-decision cutoff,NULL if not published,none,LOW,may overlap historical condition,APPROVED,IMMEDIATE_BASELINE
current_track_condition,CURRENT_PRERACE,track,Current-race value,CURRENT,current-race pre-off only,KRA publishes race-day track condition before racing with timestamp,NULL if not published,none,LOW,may overlap historical condition,APPROVED,IMMEDIATE_BASELINE
current_track_moisture_percent,CURRENT_PRERACE,track,Current-race value,CURRENT,current-race pre-off only,KRA publishes race-day moisture before racing with timestamp,NULL if not published,none,LOW,may overlap historical condition,APPROVED,IMMEDIATE_BASELINE
current_horse_weight_kg,CURRENT_PRERACE,wgHr,Current-race value,CURRENT,current-race pre-off only,published on KRA pre-race horse-weight page before the race,NULL if not published,none,LOW,may overlap historical condition,APPROVED,IMMEDIATE_BASELINE
current_horse_weight_change_kg,CURRENT_PRERACE,wgHr,Current-race value,CURRENT,current-race pre-off only,published on KRA pre-race horse-weight page before the race,NULL if not published,none,LOW,may overlap historical condition,APPROVED,IMMEDIATE_BASELINE
horse_same_track_condition_start_count,ENVIRONMENT_AFFINITY,"weather,track,ord",Historical performance under matching environment,matching historical condition,historical.race_date < feature_as_of,historical side safe; current matching key unavailable until validated,NULL rate if count=0,horse_same_track_condition_start_count,MEDIUM,sparse categories and current availability,DEFERRED,FOLLOW_UP
horse_same_track_condition_plc_hit_rate,ENVIRONMENT_AFFINITY,"weather,track,ord",Historical performance under matching environment,matching historical condition,historical.race_date < feature_as_of,historical side safe; current matching key unavailable until validated,NULL rate if count=0,horse_same_track_condition_start_count,MEDIUM,sparse categories and current availability,DEFERRED,FOLLOW_UP
horse_same_weather_start_count,ENVIRONMENT_AFFINITY,"weather,track,ord",Historical performance under matching environment,matching historical condition,historical.race_date < feature_as_of,historical side safe; current matching key unavailable until validated,NULL rate if count=0,horse_same_weather_start_count,MEDIUM,sparse categories and current availability,DEFERRED,FOLLOW_UP
horse_same_weather_plc_hit_rate,ENVIRONMENT_AFFINITY,"weather,track,ord",Historical performance under matching environment,matching historical condition,historical.race_date < feature_as_of,historical side safe; current matching key unavailable until validated,NULL rate if count=0,horse_same_weather_start_count,MEDIUM,sparse categories and current availability,DEFERRED,FOLLOW_UP
current_finish_rank,PROHIBITED,ord,current outcome,CURRENT/EXTERNAL,historical.race_date < feature_as_of,not safely available,not applicable,none,HIGH,not applicable,PROHIBITED,PROHIBITED
current_race_time,PROHIBITED,rcTime,current outcome,CURRENT/EXTERNAL,historical.race_date < feature_as_of,not safely available,not applicable,none,HIGH,not applicable,PROHIBITED,PROHIBITED
current_sectionals,PROHIBITED,se*/bu*,current outcome,CURRENT/EXTERNAL,historical.race_date < feature_as_of,not safely available,not applicable,none,HIGH,not applicable,PROHIBITED,PROHIBITED
current_margin,PROHIBITED,diffUnit,current outcome,CURRENT/EXTERNAL,historical.race_date < feature_as_of,not safely available,not applicable,none,HIGH,not applicable,PROHIBITED,PROHIBITED
current_win_odds,PROHIBITED,winOdds,post-race/market value not cutoff-validated,CURRENT/EXTERNAL,historical.race_date < feature_as_of,not safely available,not applicable,none,HIGH,not applicable,PROHIBITED,PROHIBITED
current_place_odds,PROHIBITED,plcOdds,post-race/market value not cutoff-validated,CURRENT/EXTERNAL,historical.race_date < feature_as_of,not safely available,not applicable,none,HIGH,not applicable,PROHIBITED,PROHIBITED
current_sales,PROHIBITED,API179 amt,post-race market aggregate,CURRENT/EXTERNAL,historical.race_date < feature_as_of,not safely available,not applicable,none,HIGH,not applicable,PROHIBITED,PROHIBITED
api26_current_cumulative_stats,PROHIBITED,API26 totals,historical PIT failure,CURRENT/EXTERNAL,historical.race_date < feature_as_of,not safely available,not applicable,none,HIGH,not applicable,PROHIBITED,PROHIBITED
api37_cumulative_sectionals,PROHIBITED,API37 aggregates,request-date inclusion and PIT risk,CURRENT/EXTERNAL,historical.race_date < feature_as_of,not safely available,not applicable,none,HIGH,not applicable,PROHIBITED,PROHIBITED
ilsu_as_days_since_last_start,PROHIBITED,ilsu,meaning disproven,CURRENT/EXTERNAL,historical.race_date < feature_as_of,not safely available,not applicable,none,HIGH,not applicable,PROHIBITED,PROHIBITED
horse_recent3_g3f_count,SPEED_SECTIONAL,"seG3fAccTime,bu_3fGTime",valid venue-normalized observations,last 3 valid records,historical.race_date < feature_as_of,historical only; venue semantics normalized from official definitions,0 means unavailable; structural source absence reported separately,self,LOW,companion count for the sectional median,APPROVED,IMMEDIATE_BASELINE
horse_recent3_g1f_count,SPEED_SECTIONAL,"seG1fAccTime,bu_1fGTime",valid venue-normalized observations,last 3 valid records,historical.race_date < feature_as_of,historical only; venue semantics normalized from official definitions,0 means unavailable; structural source absence reported separately,self,LOW,companion count for the sectional median,APPROVED,IMMEDIATE_BASELINE
horse_recent5_g3f_count,SPEED_SECTIONAL,"seG3fAccTime,bu_3fGTime",valid venue-normalized observations,last 5 valid records,historical.race_date < feature_as_of,historical only; venue semantics normalized from official definitions,0 means unavailable; structural source absence reported separately,self,LOW,companion count for the sectional median,APPROVED,IMMEDIATE_BASELINE
horse_recent5_g1f_count,SPEED_SECTIONAL,"seG1fAccTime,bu_1fGTime",valid venue-normalized observations,last 5 valid records,historical.race_date < feature_as_of,historical only; venue semantics normalized from official definitions,0 means unavailable; structural source absence reported separately,self,LOW,companion count for the sectional median,APPROVED,IMMEDIATE_BASELINE
