position,feature_name,feature_family,category,required_raw_fields,source_candidate,entity_key,prediction_time_availability,pit_requirement,current_implementation_status,blocker_or_uncertainty,notes
107,horse_recent3_g3f_count,historical_speed_sectional,B,historical normalized race time/sectional and valid finish,semantic historical race time/sectional,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
108,horse_recent3_g1f_count,historical_speed_sectional,B,historical normalized race time/sectional and valid finish,semantic historical race time/sectional,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
109,horse_recent5_g3f_count,historical_speed_sectional,B,historical normalized race time/sectional and valid finish,semantic historical race time/sectional,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
110,horse_recent5_g1f_count,historical_speed_sectional,B,historical normalized race time/sectional and valid finish,semantic historical race time/sectional,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
111,horse_recent3_race_relative_time_advantage_median,historical_race_relative,B,historical valid race time/status and race cohort,semantic historical valid race time and race cohort,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
112,horse_recent3_race_time_percentile_median,historical_race_relative,B,historical valid race time/status and race cohort,semantic historical valid race time and race cohort,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
113,horse_recent3_race_relative_time_count,historical_race_relative,B,historical valid race time/status and race cohort,semantic historical valid race time and race cohort,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
114,horse_recent5_race_relative_time_advantage_median,historical_race_relative,B,historical valid race time/status and race cohort,semantic historical valid race time and race cohort,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
115,horse_recent5_race_time_percentile_median,historical_race_relative,B,historical valid race time/status and race cohort,semantic historical valid race time and race cohort,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
116,horse_recent5_race_relative_time_count,historical_race_relative,B,historical valid race time/status and race cohort,semantic historical valid race time and race cohort,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
117,rating_field_percentile,current_field_relative,B,"upstream value, race_id, horse_id, active field",complete current field plus upstream A/B values,race_id+horse_id+complete active field,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,research implementation; live recomputation absent,final field and late-change recomputation required,average-rank/min-3 comparable contract
118,carried_weight_vs_field_median_kg,current_field_relative,B,"upstream value, race_id, horse_id, active field",complete current field plus upstream A/B values,race_id+horse_id+complete active field,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,research implementation; live recomputation absent,final field and late-change recomputation required,average-rank/min-3 comparable contract
119,horse_prior_plc_hit_rate_field_percentile,current_field_relative,B,"upstream value, race_id, horse_id, active field",complete current field plus upstream A/B values,race_id+horse_id+complete active field,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,research implementation; live recomputation absent,final field and late-change recomputation required,average-rank/min-3 comparable contract
120,horse_recent5_plc_hit_rate_field_percentile,current_field_relative,B,"upstream value, race_id, horse_id, active field",complete current field plus upstream A/B values,race_id+horse_id+complete active field,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,research implementation; live recomputation absent,final field and late-change recomputation required,average-rank/min-3 comparable contract
121,horse_same_distance_plc_hit_rate_field_percentile,current_field_relative,B,"upstream value, race_id, horse_id, active field",complete current field plus upstream A/B values,race_id+horse_id+complete active field,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,research implementation; live recomputation absent,final field and late-change recomputation required,average-rank/min-3 comparable contract
122,jockey_recent10_plc_hit_rate_field_percentile,current_field_relative,B,"upstream value, race_id, horse_id, active field",complete current field plus upstream A/B values,jockey_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,research implementation; live recomputation absent,final field and late-change recomputation required,average-rank/min-3 comparable contract
123,trainer_recent10_plc_hit_rate_field_percentile,current_field_relative,B,"upstream value, race_id, horse_id, active field",complete current field plus upstream A/B values,trainer_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,research implementation; live recomputation absent,final field and late-change recomputation required,average-rank/min-3 comparable contract
124,horse_recent5_s1f_field_percentile,current_field_relative,B,"upstream value, race_id, horse_id, active field",complete current field plus upstream A/B values,race_id+horse_id+complete active field,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,research implementation; live recomputation absent,final field and late-change recomputation required,average-rank/min-3 comparable contract
125,horse_recent5_g3f_field_percentile,current_field_relative,B,"upstream value, race_id, horse_id, active field",complete current field plus upstream A/B values,race_id+horse_id+complete active field,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,research implementation; live recomputation absent,final field and late-change recomputation required,average-rank/min-3 comparable contract
126,horse_recent5_g1f_field_percentile,current_field_relative,B,"upstream value, race_id, horse_id, active field",complete current field plus upstream A/B values,race_id+horse_id+complete active field,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,research implementation; live recomputation absent,final field and late-change recomputation required,average-rank/min-3 comparable contract
127,horse_recent5_race_time_percentile_trend_per_start,historical_trend,B,"ordered historical values, race_date, race_id",semantic historical event sequence,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
128,horse_recent5_s1f_improvement_trend_seconds_per_start,historical_trend,B,"ordered historical values, race_date, race_id",semantic historical event sequence,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
129,horse_recent5_g3f_improvement_trend_seconds_per_start,historical_trend,B,"ordered historical values, race_date, race_id",semantic historical event sequence,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
130,horse_recent5_g1f_improvement_trend_seconds_per_start,historical_trend,B,"ordered historical values, race_date, race_id",semantic historical event sequence,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
131,horse_same_meet_plc_hit_rate_field_percentile,current_field_relative,B,"upstream value, race_id, horse_id, active field",complete current field plus upstream A/B values,race_id+horse_id+complete active field,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,research implementation; live recomputation absent,final field and late-change recomputation required,average-rank/min-3 comparable contract
132,horse_same_meet_distance_plc_hit_rate_field_percentile,current_field_relative,B,"upstream value, race_id, horse_id, active field",complete current field plus upstream A/B values,race_id+horse_id+complete active field,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,research implementation; live recomputation absent,final field and late-change recomputation required,average-rank/min-3 comparable contract
133,jockey_same_meet_plc_hit_rate_field_percentile,current_field_relative,B,"upstream value, race_id, horse_id, active field",complete current field plus upstream A/B values,jockey_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,research implementation; live recomputation absent,final field and late-change recomputation required,average-rank/min-3 comparable contract
134,trainer_same_meet_plc_hit_rate_field_percentile,current_field_relative,B,"upstream value, race_id, horse_id, active field",complete current field plus upstream A/B values,trainer_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,research implementation; live recomputation absent,final field and late-change recomputation required,average-rank/min-3 comparable contract
135,owner_prior_plc_hit_rate_field_percentile,current_field_relative,B,"upstream value, race_id, horse_id, active field",complete current field plus upstream A/B values,owner_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,research implementation; live recomputation absent,final field and late-change recomputation required,average-rank/min-3 comparable contract
136,horse_trainer_prior_plc_hit_rate_field_percentile,current_field_relative,B,"upstream value, race_id, horse_id, active field",complete current field plus upstream A/B values,horse_id+trainer_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,research implementation; live recomputation absent,final field and late-change recomputation required,average-rank/min-3 comparable contract
137,horse_recent5_race_time_percentile_median_field_percentile,current_field_relative,B,"upstream value, race_id, horse_id, active field",complete current field plus upstream A/B values,race_id+horse_id+complete active field,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,research implementation; live recomputation absent,final field and late-change recomputation required,average-rank/min-3 comparable contract
